checkpoint,curve,layer,value
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,3,0.14467255774313886
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,4,0.17065414456145347
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,5,0.12803996454069186
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,6,0.3504023081846607
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,7,0.32172313269960195
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,8,0.436285543057546
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,9,0.6871583872275534
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,10,0.6870253722460302
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,11,0.7283921597464581
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,12,0.4205492267535658
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,13,0.6339204565735079
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,14,0.5933618357321737
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,15,0.43414604552556696
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,16,0.43146591658574857
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,17,0.4461855615750569
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,18,0.43123456460185977
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,19,0.25900724495783767
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,20,0.39685194086524267
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,21,0.4161053707833489
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,22,0.1775000959697216
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,23,0.21536469199194216
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,24,0.25066278429110134
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,25,0.29992740707690285
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,26,0.3298702426295595
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,27,0.38008569696631345
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,28,0.5168417336186221
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,29,0.5506035848638401
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,30,0.4929213025187516
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,31,0.6734245126488285
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,32,0.5704537852906758
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,33,0.5182541087180097
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,34,0.2860073897908882
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,35,0.06064049257971127
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,0,-1.152735293474362
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,1,-0.9452937991770765
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,2,-0.9055148221006596
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,3,-1.2111660522713477
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,4,-1.0909701661971865
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,5,-1.288111671169034
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,6,-0.259420117003687
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,7,-0.3920955741806558
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,8,0.13789247158636472
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,9,1.2984791596828473
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,10,1.297863806445298
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,11,1.4892346304224766
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,12,0.06509320436197492
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,13,1.0521901130412832
